SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Detachability,FlatnessUni,Feasibility,Detachability_STD,FlatnessUni_STD,Feasibility_STD,Weight
aTS-0301,0.0,0.0,0.0,0.0,0.0,0.0551,0.015,0.0,0.2709,0.0,0.0,0.0,0.0,0.3122,0.0,0.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0302,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.3513,0.0,0.0,0.0,0.0,0.2914,0.0,0.0,0.3186,0.0,0.0,0.0237,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0303,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.015,0.0,0.3665,0.0,0.0,0.3444,0.0,0.2591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
aTS-0304,0.0,0.1085,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.311,0.0,0.2257,0.3399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
aTS-0305,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.2496,0.3331,0.0,0.353,0.0,0.0,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0306,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3144,0.0,0.0511,0.0,0.0,0.0,0.2324,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0307,0.0779,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.2663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137,0.0,0.0,0.0,0.0,0.1791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0308,0.2926,0.0568,0.0,0.2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0506,0.0399,0.3147,0.0,0.0,0.0,0.0,0.2153,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-030A,0.0,0.0,0.0,0.3142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749,0.0,0.3134,0.0,0.0414,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0
