SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Feasibility,TransVis,TensileStrength,TensileSED,FireRR
aTH-0249,0.0,0.2909,0.3217,0.0,0.015,0.0,0.0,0.1351,0.0,0.0,0.0,0.0,0.2373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,68.07,50.007,0.174,1.0
aTH-0250,0.0,0.0,0.0,0.1465,0.0,0.0,0.2626,0.0,0.045,0.0,0.0,0.2668,0.0,0.0,0.0,0.0,0.2791,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0251,0.0,0.1355,0.3778,0.3255,0.0,0.0,0.015,0.0,0.0,0.0,0.1461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,75.73,47.875,1.33,0.012
aTH-0252,0.0916,0.0,0.5199,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579,0.0267,0.0,0.0,0.0,0.0,0.0,True,72.13,,,
aTH-0253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1984,0.3449,0.1653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2414,0.0,0.0,True,,,,
aTH-0254,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.3275,0.193,0.0,0.2205,0.0,0.0,0.0,0.0,False,,,,
aTH-0255,0.0,0.0,0.0,0.3249,0.0,0.0,0.0,0.0,0.0,0.0,0.2803,0.0,0.0898,0.015,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,True,48.87,17.677,0.049,0.073
aTH-0256,0.0,0.2517,0.0,0.0,0.3239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422,0.0,0.0,0.0492,0.0,0.0,0.0,0.0,0.233,True,,,,
aTH-0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2838,0.0,0.0,0.0,0.0,0.0,0.0504,0.0907,0.0,0.0,0.0,0.5751,0.0,False,,,,
aTH-0258,0.211,0.0,0.0,0.1525,0.0,0.2095,0.2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0259,0.0,0.375,0.0,0.4008,0.0,0.0,0.0,0.0699,0.0,0.0,0.0,0.0,0.1543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0260,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0,0.0,0.3231,0.0,0.0,0.2419,0.0,0.0,0.0,0.0,True,,,,
aTH-0301,0.0,0.1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496,0.0,0.0,0.0,0.0,0.0494,0.0,0.289,0.0,0.293,0.0,0.0,0.0,True,80.4,1.313,0.039,
aTH-0302,0.0,0.0,0.0,0.2911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3847,0.0,0.0493,0.0,0.0,0.0517,0.2232,False,,,,
aTH-0303,0.0,0.0,0.0,0.1054,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.241,0.0,0.0,0.0,0.0,0.3705,0.0,0.0,0.0,0.0,0.0,False,,,,
